Price,Adj Close,Close,High,Low,Open,Volume
Ticker,EXPN.L,EXPN.L,EXPN.L,EXPN.L,EXPN.L,EXPN.L
Date,,,,,,
2015-01-02,1093.08056640625,1095.0,1114.0,1086.0,1109.0,1971799
2015-01-05,1069.1229248046875,1071.0,1109.0,1068.0,1093.0,2100317
2015-01-06,1044.166259765625,1046.0,1071.0,1044.0,1070.0,3718139
2015-01-07,1069.1229248046875,1071.0,1073.0,1046.0,1052.0,2504725
2015-01-08,1089.0880126953125,1091.0,1092.0,1077.6400146484375,1081.0,1720005
2015-01-09,1091.08447265625,1093.0,1105.0,1086.0,1091.0,2199348
2015-01-12,1088.0894775390625,1090.0,1101.0,1082.0,1096.0,1822731
2015-01-13,1085.094970703125,1087.0,1093.0,1080.0,1083.0,1677724
2015-01-14,1063.133544921875,1065.0,1086.0,1058.0,1074.0,2866986
2015-01-15,1119.0352783203125,1121.0,1122.0,1070.0,1070.0,4071525
2015-01-16,1142.9930419921875,1145.0,1167.0,1109.2159423828125,1118.0,3642652
2015-01-19,1152.9754638671875,1155.0,1157.0,1136.8499755859375,1143.0,2386526
2015-01-20,1166.9508056640625,1169.0,1173.0,1145.6400146484375,1160.0,2790562
2015-01-21,1159.9632568359375,1162.0,1173.0,1159.0,1167.0,2207752
2015-01-22,1160.9619140625,1163.0,1168.0,1156.0,1168.0,2733710
2015-01-23,1159.9632568359375,1162.0,1164.0,1146.0,1146.0,2245360
2015-01-26,1178.9300537109375,1181.0,1183.0,1153.0,1157.0,1810666
2015-01-27,1162.9578857421875,1165.0,1187.0,1155.0,1177.0,1736094
2015-01-28,1181.925048828125,1184.0,1222.0,1176.75,1178.0,3216702
2015-01-29,1180.926513671875,1183.0,1206.0,1179.0,1182.0,3300805
2015-01-30,1170.9439697265625,1173.0,1194.0,1159.0,1188.0,3300307
2015-02-02,1165.95263671875,1168.0,1176.4110107421875,1157.0,1171.0,1974353
2015-02-03,1182.9228515625,1185.0,1192.0,1163.0,1168.0,2266964
2015-02-04,1182.9228515625,1185.0,1189.0,1174.4730224609375,1187.0,2120545
2015-02-05,1191.9072265625,1194.0,1195.0,1179.0,1180.0,1652248
2015-02-06,1187.9141845703125,1190.0,1201.0,1187.8499755859375,1194.0,1609836
2015-02-09,1182.9228515625,1185.0,1191.0,1170.0,1188.0,1781505
2015-02-10,1184.919677734375,1187.0,1206.0,1181.0,1184.0,2123371
2015-02-11,1187.9141845703125,1190.0,1202.0,1180.0,1187.0,2176592
2015-02-12,1196.898681640625,1199.0,1199.0,1186.72705078125,1187.0,1479108
2015-02-13,1195.900146484375,1198.0,1206.0,1195.0,1204.0,1541941
2015-02-16,1178.9300537109375,1181.0,1203.0,1180.0,1196.0,1267600
2015-02-17,1178.9300537109375,1181.0,1193.0,1169.0,1179.0,1888363
2015-02-18,1187.9141845703125,1190.0,1190.0,1174.0,1181.0,1557463
2015-02-19,1189.9107666015625,1192.0,1199.0,1186.0,1192.0,1847466
2015-02-20,1187.9141845703125,1190.0,1194.0,1187.0,1193.0,1829158
2015-02-23,1196.898681640625,1199.0,1202.0,1193.0,1196.0,1242275
2015-02-24,1193.9034423828125,1196.0,1206.0,1193.0,1205.0,943448
2015-02-25,1177.9317626953125,1180.0,1197.0,1176.0,1191.0,1506965
2015-02-26,1195.900146484375,1198.0,1201.0,1175.0,1180.0,1249963
2015-02-27,1195.900146484375,1198.0,1216.0,1195.0,1201.0,1446744
2015-03-02,1200.8916015625,1203.0,1212.0,1195.0,1195.0,1577250
2015-03-03,1177.9317626953125,1180.0,1211.0,1180.0,1208.0,1259460
2015-03-04,1171.9427490234375,1174.0,1183.0,1161.0,1183.0,1804825
2015-03-05,1191.9072265625,1194.0,1195.0,1173.0,1173.0,1132533
2015-03-06,1184.919677734375,1187.0,1195.0,1180.0,1190.0,953416
2015-03-09,1157.967041015625,1160.0,1188.0,1158.0,1183.0,1598777
2015-03-10,1132.0126953125,1134.0,1162.0,1133.0,1160.0,2566395
2015-03-11,1137.0035400390625,1139.0,1150.0,1135.0,1150.0,2535494
2015-03-12,1139.9984130859375,1142.0,1157.364990234375,1134.0,1147.0,2343253
2015-03-13,1128.0194091796875,1130.0,1151.0,1128.0,1148.0,2296807
2015-03-16,1113.0457763671875,1115.0,1137.0,1100.0,1137.0,3496927
2015-03-17,1126.0233154296875,1128.0,1131.0,1107.9000244140625,1116.0,2207124
2015-03-18,1135.0069580078125,1137.0,1139.0,1119.9000244140625,1129.0,2606605
2015-03-19,1128.0194091796875,1130.0,1154.0,1125.0,1139.0,2849102
2015-03-20,1140.9964599609375,1143.0,1149.0,1129.0,1129.0,2223871
2015-03-23,1145.988037109375,1148.0,1157.0,1141.0,1147.0,1769950
2015-03-24,1153.9736328125,1156.0,1165.0,1143.0,1148.0,2862044
2015-03-25,1139.000244140625,1141.0,1156.0,1135.0,1155.0,1702250
2015-03-26,1129.0177001953125,1131.0,1149.0,1127.0,1137.0,2640753
2015-03-27,1123.028076171875,1125.0,1134.0,1124.0,1129.0,2681956
2015-03-30,1119.0352783203125,1121.0,1136.0,1115.0,1136.0,2910322
2015-03-31,1115.042236328125,1117.0,1140.2249755859375,1117.0,1124.0,3509349
2015-04-01,1119.0352783203125,1121.0,1127.0,1096.0,1116.0,2495443
2015-04-02,1128.0194091796875,1130.0,1131.0,1108.0,1120.0,1708400
2015-04-07,1147.9844970703125,1150.0,1156.0,1132.0,1137.0,1952200
2015-04-08,1178.9300537109375,1181.0,1190.0,1174.0,1178.0,2853266
2015-04-09,1179.9285888671875,1182.0,1193.0,1177.5,1190.0,1578582
2015-04-10,1190.9090576171875,1193.0,1195.0,1181.0,1181.0,1675598
2015-04-13,1174.9368896484375,1177.0,1193.0,1173.5,1190.0,560754
2015-04-14,1177.9317626953125,1180.0,1187.0,1172.0,1172.0,1597933
2015-04-15,1184.919677734375,1187.0,1188.25,1164.25,1180.0,1709786
2015-04-16,1177.9317626953125,1180.0,1193.0,1174.0,1193.0,5745021
2015-04-17,1178.9300537109375,1181.0,1190.25,1169.0,1175.0,2408986
2015-04-20,1187.9141845703125,1190.0,1195.0,1182.0,1182.0,1800566
2015-04-21,1200.8916015625,1203.0,1209.0,1192.0,1193.0,2016676
2015-04-22,1189.9107666015625,1192.0,1213.0,1189.0,1208.0,1838921
2015-04-23,1201.8896484375,1204.0,1217.0,1190.0,1190.0,2619730
2015-04-24,1187.9141845703125,1190.0,1212.0,1185.0,1202.0,4657560
2015-04-27,1194.90185546875,1197.0,1198.0,1170.0,1192.0,2042167
2015-04-28,1186.916015625,1189.0,1202.5,1183.0,1195.0,3100001
2015-04-29,1168.94775390625,1171.0,1199.0,1170.0,1197.0,1875142
2015-04-30,1165.95263671875,1168.0,1171.25,1144.5,1171.0,2717241
