Price,Adj Close,Close,High,Low,Open,Volume
Ticker,HLN.L,HLN.L,HLN.L,HLN.L,HLN.L,HLN.L
Date,,,,,,
2022-07-18,308.1979675292969,308.3500061035156,337.3999938964844,308.3500061035156,330.0,75775752
2022-07-19,300.8515930175781,301.0,309.1000061035156,291.3500061035156,309.0,44977828
2022-07-20,302.8506164550781,303.0,315.04998779296875,295.0,295.0,42043254
2022-07-21,314.0450744628906,314.20001220703125,314.20001220703125,298.20001220703125,302.0,35446440
2022-07-22,316.34393310546875,316.5,319.3420104980469,305.0,309.3999938964844,25275653
2022-07-25,304.849609375,305.0,313.4440002441406,304.5,312.0,33054037
2022-07-26,308.7476806640625,308.8999938964844,308.8999938964844,300.0,303.79998779296875,47379225
2022-07-27,303.3503723144531,303.5,319.79998779296875,303.5,310.0,92809478
2022-07-28,295.35430908203125,295.5,304.5,292.70001220703125,303.1000061035156,37686946
2022-07-29,291.6560974121094,291.79998779296875,293.79998779296875,285.6000061035156,292.0,39539253
2022-08-01,297.4532775878906,297.6000061035156,297.6000061035156,284.8999938964844,284.8999938964844,16614852
2022-08-02,310.346923828125,310.5,313.8999938964844,298.6000061035156,300.0,23844114
2022-08-03,306.8486328125,307.0,308.5,305.0,307.3999938964844,17865277
2022-08-04,305.0495300292969,305.20001220703125,310.1000061035156,303.8999938964844,305.0,15092240
2022-08-05,307.7481689453125,307.8999938964844,313.20001220703125,299.3999938964844,303.0,14863964
2022-08-08,309.04754638671875,309.20001220703125,311.29998779296875,305.3999938964844,308.3999938964844,14380572
2022-08-09,303.8501281738281,304.0,310.3999938964844,302.5,306.3999938964844,15781977
2022-08-10,279.3621826171875,279.5,302.70001220703125,279.5,297.8999938964844,112025393
2022-08-11,265.6689147949219,265.79998779296875,273.0,242.60000610351562,271.3999938964844,113965410
2022-08-12,271.4660949707031,271.6000061035156,274.8999938964844,262.06201171875,266.0,50086906
2022-08-15,266.5685119628906,266.70001220703125,273.70001220703125,254.10000610351562,271.70001220703125,37803344
2022-08-16,268.9673156738281,269.1000061035156,271.29998779296875,259.8999938964844,265.0,32516650
2022-08-17,258.2725524902344,258.3999938964844,268.6000061035156,256.7359924316406,262.5,29310948
2022-08-18,256.0736999511719,256.20001220703125,258.5,253.3000030517578,253.8000030517578,35741577
2022-08-19,255.97373962402344,256.1000061035156,256.1000061035156,253.0,253.0,23232175
2022-08-22,263.17010498046875,263.29998779296875,264.70001220703125,251.60800170898438,253.5,22330395
2022-08-23,267.66790771484375,267.79998779296875,269.6000061035156,260.6000061035156,263.0,16179670
2022-08-24,268.6674499511719,268.79998779296875,269.8999938964844,261.50299072265625,265.3999938964844,15418392
2022-08-25,263.47003173828125,263.6000061035156,268.0,262.20001220703125,266.0,7276648
2022-08-26,266.1686706542969,266.29998779296875,272.3999938964844,266.0,267.6000061035156,11112274
2022-08-30,259.07220458984375,259.20001220703125,262.5,256.79998779296875,260.0,17680093
2022-08-31,258.7223815917969,258.8500061035156,260.6000061035156,253.8000030517578,259.1499938964844,52132728
2022-09-01,249.57687377929688,249.6999969482422,258.29998779296875,246.60000610351562,256.70001220703125,20710901
2022-09-02,247.0281219482422,247.14999389648438,250.9499969482422,246.8800048828125,249.3000030517578,19029185
2022-09-05,246.02862548828125,246.14999389648438,246.3000030517578,241.1739959716797,243.5,15777220
2022-09-06,254.07464599609375,254.1999969482422,256.20001220703125,243.70199584960938,245.39999389648438,16773709
2022-09-07,254.874267578125,255.0,256.6000061035156,249.1999969482422,251.5,41837272
2022-09-08,260.021728515625,260.1499938964844,260.1499938964844,252.8000030517578,255.0,17341463
2022-09-09,260.8713073730469,261.0,265.3500061035156,259.3999938964844,261.0,17682773
2022-09-12,263.8697814941406,264.0,264.29998779296875,260.0,262.4169921875,19942952
2022-09-13,266.4685974121094,266.6000061035156,268.95001220703125,264.6000061035156,268.0,18160854
2022-09-14,270.16668701171875,270.29998779296875,271.0,262.8999938964844,265.1499938964844,25273167
2022-09-15,264.3196105957031,264.45001220703125,268.3489990234375,263.20001220703125,268.0,13008178
2022-09-16,259.2721252441406,259.3999938964844,265.45001220703125,259.3999938964844,262.1000061035156,40790661
2022-09-20,265.31915283203125,265.45001220703125,270.8689880371094,259.3500061035156,266.3999938964844,30631397
2022-09-21,267.46807861328125,267.6000061035156,270.0,261.20001220703125,261.20001220703125,23555338
2022-09-22,265.8688659667969,266.0,266.4129943847656,261.25,264.1499938964844,14471975
2022-09-23,277.313232421875,277.45001220703125,278.95001220703125,269.25,271.3999938964844,21806112
2022-09-26,286.2088317871094,286.3500061035156,289.0,275.8999938964844,278.8999938964844,34480771
2022-09-27,278.6625061035156,278.79998779296875,288.0,278.79998779296875,286.6499938964844,20703519
2022-09-28,278.56256103515625,278.70001220703125,280.45001220703125,271.8999938964844,274.20001220703125,21573224
2022-09-29,279.91192626953125,280.04998779296875,281.8999938964844,276.3500061035156,280.29998779296875,19230560
2022-09-30,279.1123046875,279.25,285.8949890136719,273.75,276.95001220703125,19741830
2022-10-03,270.66644287109375,270.79998779296875,278.6000061035156,268.3500061035156,277.5,18959527
2022-10-04,274.0648193359375,274.20001220703125,277.5,271.6000061035156,273.70001220703125,19704361
2022-10-05,278.3127136230469,278.45001220703125,278.45098876953125,271.20001220703125,272.8500061035156,16044492
2022-10-06,284.0099182128906,284.1499938964844,286.1000061035156,279.7200012207031,280.25,20292530
2022-10-07,279.16229248046875,279.29998779296875,286.04998779296875,277.79998779296875,281.25,35024789
2022-10-10,271.0163269042969,271.1499938964844,278.8890075683594,270.0,277.8999938964844,60118603
2022-10-11,275.464111328125,275.6000061035156,277.20001220703125,269.97900390625,271.6499938964844,31546250
2022-10-12,273.4651184082031,273.6000061035156,277.26800537109375,271.04998779296875,275.1000061035156,15176877
2022-10-13,270.3666076660156,270.5,274.29998779296875,268.1499938964844,273.0,21031548
2022-10-14,273.6649475097656,273.79998779296875,277.45001220703125,270.8999938964844,271.95001220703125,18393526
2022-10-17,268.9673156738281,269.1000061035156,274.25,266.54998779296875,273.75,43576440
2022-10-18,268.6674499511719,268.79998779296875,272.6499938964844,268.0,270.1000061035156,12888055
2022-10-19,266.8183898925781,266.95001220703125,273.1499938964844,263.25,273.0,17543237
2022-10-20,271.36614990234375,271.5,271.5,265.1000061035156,265.6499938964844,30131268
2022-10-21,272.36566162109375,272.5,275.75,268.4649963378906,268.6000061035156,12449978
2022-10-24,273.5650939941406,273.70001220703125,276.1499938964844,270.1000061035156,272.1499938964844,10664855
2022-10-25,272.9653625488281,273.1000061035156,280.25,273.1000061035156,275.79998779296875,18923366
2022-10-26,268.1676940917969,268.29998779296875,270.79998779296875,263.6000061035156,270.70001220703125,31763076
2022-10-27,269.8169250488281,269.95001220703125,270.1499938964844,264.0,267.95001220703125,15043608
2022-10-28,269.16717529296875,269.29998779296875,270.8999938964844,266.5060119628906,267.70001220703125,26342835
2022-10-31,267.86785888671875,268.0,272.95001220703125,265.1000061035156,270.5,19101149
2022-11-01,268.4175720214844,268.54998779296875,271.75,266.54998779296875,267.5,16918045
2022-11-02,266.9183349609375,267.04998779296875,271.0,263.1499938964844,269.20001220703125,21514109
2022-11-03,274.314697265625,274.45001220703125,277.25,267.3500061035156,267.5,20928172
2022-11-04,275.16424560546875,275.29998779296875,276.0710144042969,273.1000061035156,274.0,18648334
2022-11-07,278.462646484375,278.6000061035156,279.79998779296875,274.1499938964844,275.1000061035156,9304872
2022-11-08,278.06280517578125,278.20001220703125,284.04998779296875,275.79998779296875,278.8500061035156,17549203
2022-11-09,286.1088562011719,286.25,286.8500061035156,274.5,275.3500061035156,18339504
2022-11-10,279.4621887207031,279.6000061035156,294.3999938964844,268.45001220703125,284.5,42887139
2022-11-11,277.3631591796875,277.5,285.1499938964844,271.8999938964844,278.8500061035156,23001138
2022-11-14,281.7110290527344,281.8500061035156,283.75,275.45001220703125,277.1499938964844,21834005
2022-11-15,278.9624328613281,279.1000061035156,287.5,277.20001220703125,282.29998779296875,17150660
