Price,Adj Close,Close,High,Low,Open,Volume
Ticker,SHEL.L,SHEL.L,SHEL.L,SHEL.L,SHEL.L,SHEL.L
Date,,,,,,
2005-01-03,1476.8673095703125,1492.050048828125,1500.8900146484375,1492.050048828125,1495.6199951171875,39200
2005-01-04,1468.4337158203125,1483.530029296875,1486.0,1476.1199951171875,1478.5799560546875,1627860
2005-01-05,1465.3370361328125,1480.4000244140625,1486.030029296875,1475.47998046875,1475.489990234375,1090968
2005-01-06,1471.91845703125,1487.050048828125,1487.050048828125,1477.9200439453125,1477.8900146484375,827548
2005-01-07,1470.6912841796875,1485.81005859375,1492.449951171875,1477.4300537109375,1480.219970703125,2534812
2005-01-10,1473.016845703125,1488.1600341796875,1493.050048828125,1486.4100341796875,1487.7900390625,953672
2005-01-11,1472.9970703125,1488.1400146484375,1494.0999755859375,1481.1300048828125,1490.6300048828125,1282356
2005-01-12,1460.4560546875,1475.469970703125,1490.9000244140625,1471.9599609375,1488.1199951171875,2574136
2005-01-13,1478.302734375,1493.5,1493.5,1474.9000244140625,1481.219970703125,2142208
2005-01-14,1478.6787109375,1493.8800048828125,1496.68994140625,1487.5799560546875,1489.300048828125,1762200
2005-01-17,1484.2020263671875,1499.4599609375,1505.43994140625,1494.530029296875,1499.43994140625,1420260
2005-01-18,1480.48046875,1495.699951171875,1496.3900146484375,1482.7900390625,1486.969970703125,1867884
2005-01-19,1474.254150390625,1489.4100341796875,1496.3599853515625,1488.030029296875,1490.489990234375,2542812
2005-01-20,1475.6802978515625,1490.8499755859375,1491.550048828125,1481.8499755859375,1483.9200439453125,2438072
2005-01-21,1503.6517333984375,1519.1099853515625,1519.81005859375,1493.3800048828125,1495.8299560546875,3484804
2005-01-24,1518.0042724609375,1533.6099853515625,1535.3499755859375,1514.8399658203125,1514.8499755859375,2562420
2005-01-25,1515.52001953125,1531.0999755859375,1537.010009765625,1529.02001953125,1531.4599609375,1766748
2005-01-26,1526.625732421875,1542.3199462890625,1548.9200439453125,1529.81005859375,1533.280029296875,3095660
2005-01-27,1519.0738525390625,1534.68994140625,1544.719970703125,1532.969970703125,1541.969970703125,2896172
2005-01-28,1512.3623046875,1527.9100341796875,1536.199951171875,1527.219970703125,1535.8599853515625,2418464
2005-01-31,1523.8350830078125,1539.5,1540.5400390625,1530.52001953125,1535.3499755859375,2450316
2005-02-01,1569.8419189453125,1585.97998046875,1585.97998046875,1547.5799560546875,1549.6700439453125,3188584
2005-02-02,1581.2052001953125,1597.4599609375,1599.8800048828125,1576.3699951171875,1589.1600341796875,3332196
2005-02-03,1553.7567138671875,1569.72998046875,1578.0,1554.219970703125,1565.2900390625,1843100
2005-02-04,1559.646484375,1575.6800537109375,1577.4000244140625,1532.780029296875,1533.0999755859375,2482156
2005-02-07,1563.83349609375,1579.9100341796875,1585.0699462890625,1574.4100341796875,1584.0699462890625,1374688
2005-02-08,1565.9420166015625,1582.0400390625,1582.0400390625,1571.3800048828125,1581.010009765625,1603564
2005-02-09,1550.9066162109375,1566.8499755859375,1580.27001953125,1565.1300048828125,1578.2099609375,1656380
2005-02-10,1548.6588134765625,1564.5799560546875,1570.780029296875,1555.9599609375,1559.06005859375,2041944
2005-02-11,1558.29052734375,1574.31005859375,1574.6600341796875,1564.300048828125,1571.22998046875,1639912
2005-02-14,1545.2440185546875,1561.1300048828125,1566.969970703125,1557.3499755859375,1565.5999755859375,1334060
2005-02-15,1569.6640625,1585.800048828125,1587.52001953125,1567.5899658203125,1569.6500244140625,1380284
2005-02-16,1586.4114990234375,1602.719970703125,1605.8299560546875,1590.969970703125,1596.1199951171875,2146632
2005-02-17,1604.9512939453125,1621.449951171875,1629.050048828125,1608.6600341796875,1608.6800537109375,2286104
2005-02-18,1613.156494140625,1629.739990234375,1637.3299560546875,1609.739990234375,1609.77001953125,1920996
2005-02-21,1632.7452392578125,1649.530029296875,1649.8699951171875,1625.75,1626.469970703125,1851984
2005-02-22,1628.8739013671875,1645.6199951171875,1661.9200439453125,1639.030029296875,1661.9300537109375,2135440
2005-02-23,1597.883544921875,1614.31005859375,1629.5400390625,1608.780029296875,1623.97998046875,1734136
2005-02-24,1599.6357421875,1616.0799560546875,1627.8499755859375,1616.0799560546875,1620.22998046875,3108340
2005-02-25,1614.9080810546875,1631.510009765625,1631.510009765625,1609.469970703125,1617.0799560546875,2254428
2005-02-28,1623.7962646484375,1640.489990234375,1663.5799560546875,1640.489990234375,1647.7099609375,2858400
2005-03-01,1619.857666015625,1636.510009765625,1649.56005859375,1630.3299560546875,1637.8800048828125,3538752
2005-03-02,1633.1904296875,1649.97998046875,1651.010009765625,1633.8399658203125,1641.030029296875,3548392
2005-03-03,1656.28271484375,1673.31005859375,1682.93994140625,1658.1800537109375,1658.8699951171875,2830444
2005-03-04,1666.1220703125,1683.25,1685.31005859375,1670.8699951171875,1673.5999755859375,2572844
2005-03-07,1658.43115234375,1675.47998046875,1697.18994140625,1673.4100341796875,1690.27001953125,2258972
2005-03-08,1657.5006103515625,1674.5400390625,1681.449951171875,1663.1300048828125,1681.469970703125,417732
2005-03-09,1653.70947265625,1670.7099609375,1687.06005859375,1665.1500244140625,1685.9599609375,2290608
2005-03-10,1618.8084716796875,1635.449951171875,1646.25,1633.7099609375,1646.280029296875,3092056
2005-03-11,1627.3505859375,1644.0799560546875,1653.1600341796875,1633.5999755859375,1640.93994140625,917584
2005-03-14,1630.2900390625,1647.050048828125,1653.3499755859375,1637.6099853515625,1645.280029296875,2363908
2005-03-15,1628.429931640625,1645.1700439453125,1651.0799560546875,1640.6500244140625,1643.7900390625,193804
2005-03-16,1610.682373046875,1627.239990234375,1630.719970703125,1622.3699951171875,1629.6400146484375,73352
2005-03-17,1602.328125,1618.800048828125,1627.8399658203125,1618.800048828125,1627.8299560546875,196564
2005-03-18,1601.8526611328125,1618.3199462890625,1620.75,1613.81005859375,1613.780029296875,100548
2005-03-21,1610.572998046875,1627.1300048828125,1635.1300048828125,1627.1300048828125,1635.1500244140625,68500
2005-03-22,1612.9979248046875,1629.5799560546875,1630.969970703125,1612.199951171875,1622.6400146484375,95088
2005-03-23,1587.1142578125,1603.4300537109375,1613.8499755859375,1601.0,1612.0999755859375,196100
2005-03-24,1580.2152099609375,1596.4599609375,1604.780029296875,1596.1099853515625,1604.780029296875,54364
2005-03-25,1580.2152099609375,1596.4599609375,1596.4599609375,1596.4599609375,1596.4599609375,0
2005-03-28,1580.2152099609375,1596.4599609375,1596.4599609375,1596.4599609375,1596.4599609375,0
2005-03-29,1581.2249755859375,1597.47998046875,1597.47998046875,1584.3900146484375,1584.3900146484375,74980
2005-03-30,1573.8897705078125,1590.0699462890625,1596.260009765625,1584.219970703125,1584.239990234375,144948
2005-03-31,1575.6917724609375,1591.8900146484375,1591.8900146484375,1591.8900146484375,1591.8699951171875,10000
2005-04-01,1580.2347412109375,1596.47998046875,1597.8499755859375,1587.9000244140625,1587.8699951171875,136740
2005-04-04,1580.343505859375,1596.5899658203125,1597.6199951171875,1584.260009765625,1588.4000244140625,51736
2005-04-05,1590.4300537109375,1606.780029296875,1606.780029296875,1606.780029296875,1606.760009765625,400
2005-04-06,1591.053955078125,1607.4100341796875,1612.5400390625,1607.4100341796875,1611.5,93784
2005-04-07,1626.974609375,1643.699951171875,1643.699951171875,1625.1400146484375,1625.1300048828125,59840
2005-04-08,1609.9891357421875,1626.5400390625,1639.2099609375,1626.5400390625,1638.510009765625,43224
2005-04-11,1603.7138671875,1620.199951171875,1621.9100341796875,1614.02001953125,1614.0400390625,541628
2005-04-12,1599.7738037109375,1616.219970703125,1616.219970703125,1606.6600341796875,1615.199951171875,909228
2005-04-13,1585.827392578125,1602.1300048828125,1604.8599853515625,1602.1300048828125,1604.530029296875,112256
2005-04-14,1575.483154296875,1591.6800537109375,1594.06005859375,1589.6400146484375,1591.6700439453125,172676
2005-04-15,1565.0107421875,1581.0999755859375,1589.97998046875,1581.0999755859375,1587.949951171875,151576
2005-04-18,1539.7410888671875,1555.5699462890625,1558.6400146484375,1547.030029296875,1558.6199951171875,63740
2005-04-19,1549.431396484375,1565.3599853515625,1565.3599853515625,1551.0799560546875,1551.0699462890625,56404
2005-04-20,1531.0203857421875,1546.760009765625,1567.8900146484375,1546.760009765625,1567.8800048828125,85576
2005-04-21,1538.6522216796875,1554.469970703125,1557.2099609375,1545.9100341796875,1545.8699951171875,70864
2005-04-22,1544.6507568359375,1560.530029296875,1560.530029296875,1555.0699462890625,1555.06005859375,71964
2005-04-25,1556.5283203125,1572.530029296875,1575.9300537109375,1560.31005859375,1560.3499755859375,34636
