Price,Adj Close,Close,High,Low,Open,Volume
Ticker,SHEL.L,SHEL.L,SHEL.L,SHEL.L,SHEL.L,SHEL.L
Date,,,,,,
2015-01-02,2155.916015625,2168.0,2176.5,2125.0,2173.5,3251273
2015-01-05,2068.40625,2080.0,2161.0,2076.0,2157.5,8741887
2015-01-06,2067.9091796875,2079.5,2123.5,2033.0,2080.0,7476529
2015-01-07,2086.30615234375,2098.0,2128.0,2055.5,2087.5,6579382
2015-01-08,2130.55810546875,2142.5,2150.5,2112.0,2134.5,4549799
2015-01-09,2094.7587890625,2106.5,2147.0,2093.0,2143.5,4167176
2015-01-12,2066.914794921875,2078.5,2115.5,2048.0,2115.0,4580648
2015-01-13,2065.42333984375,2077.0,2089.5,2038.5,2045.0,5522141
2015-01-14,1996.8074951171875,2008.0,2054.5,2003.0,2054.0,10334336
2015-01-15,2054.484130859375,2066.0,2077.5,1974.0,2044.5,13311135
2015-01-16,2090.781494140625,2102.5,2105.0,2044.5,2054.0,8595747
2015-01-19,2109.17724609375,2121.0,2126.5,2083.0,2103.5,4177221
2015-01-20,2105.19970703125,2117.0,2154.5,2105.5,2141.5,6293026
2015-01-21,2151.44091796875,2163.5,2178.5,2126.5,2127.5,8385284
2015-01-22,2164.36865234375,2176.5,2215.25390625,2153.5,2170.0,7633009
2015-01-23,2172.82080078125,2185.0,2200.0,2132.5,2200.0,7816599
2015-01-26,2199.174072265625,2211.5,2213.0,2140.0,2157.5,7329643
2015-01-27,2178.7880859375,2191.0,2216.5,2150.0,2205.5,7428294
2015-01-28,2141.496337890625,2153.5,2211.39990234375,2140.5,2211.0,8746903
2015-01-29,2048.5185546875,2060.0,2090.0,2042.5,2079.0,12011958
2015-01-30,2006.751708984375,2018.0,2079.0,2014.0,2066.0,11576055
2015-02-02,2057.46728515625,2069.0,2086.0,2037.5,2044.0,8283212
2015-02-03,2167.848876953125,2180.0,2180.0,2055.0,2094.0,19045298
2015-02-04,2144.97705078125,2157.0,2187.5,2124.0,2181.0,10249808
2015-02-05,2156.909912109375,2169.0,2183.0,2100.0,2127.0,13271060
2015-02-06,2152.932861328125,2165.0,2189.0,2157.5,2173.0,13051195
2015-02-09,2174.312744140625,2186.5,2195.5,2148.5,2163.0,22035113
2015-02-10,2140.50146484375,2152.5,2192.0,2138.0,2192.0,5818286
2015-02-11,2134.5361328125,2146.5,2161.5,2122.5,2161.0,4187108
2015-02-12,2101.030517578125,2112.5,2162.340087890625,2105.5,2123.5,5992885
2015-02-13,2137.332763671875,2149.0,2154.5,2118.5,2122.5,4805815
2015-02-16,2119.927978515625,2131.5,2155.0,2125.0,2155.0,3151460
2015-02-17,2139.81982421875,2151.5,2170.0,2110.0,2119.5,4322655
2015-02-18,2142.305419921875,2154.0,2173.5,2142.5,2164.5,6374275
2015-02-19,2097.5498046875,2109.0,2150.0,2105.0,2145.0,6570301
2015-02-20,2115.451904296875,2127.0,2128.5,2103.0,2122.5,6379700
2015-02-23,2102.522216796875,2114.0,2139.0,2100.0,2139.0,4219074
2015-02-24,2117.9384765625,2129.5,2138.0,2098.5,2111.0,5615671
2015-02-25,2110.97705078125,2122.5,2132.0,2100.0,2131.0,4375750
2015-02-26,2094.068359375,2105.5,2125.5,2095.5,2120.0,4038544
2015-02-27,2106.500244140625,2118.0,2128.5,2094.5,2101.0,5512092
2015-03-02,2078.65234375,2090.0,2119.5,2087.5,2113.0,4131173
2015-03-03,2035.8863525390625,2047.0,2100.0,2037.0,2095.0,11031218
2015-03-04,2032.4052734375,2043.5,2066.5,2029.0,2060.5,6308589
2015-03-05,2028.924072265625,2040.0,2062.5,2033.8299560546875,2055.5,5783897
2015-03-06,2018.9788818359375,2030.0,2042.0,2023.5,2040.0,5235419
2015-03-09,2018.9788818359375,2030.0,2035.5,2005.5,2025.5,4854451
2015-03-10,1925.9862060546875,1936.5,2020.0,1936.5,2020.0,7660512
2015-03-11,1925.4892578125,1936.0,1952.0,1929.2249755859375,1945.5,5717749
2015-03-12,1950.353271484375,1961.0,1993.5,1948.0,1948.0,7023507
2015-03-13,1911.0673828125,1921.5,1966.5,1918.5,1965.0,6261605
2015-03-16,1924.9913330078125,1935.5,1942.0,1916.7879638671875,1925.0,4457071
2015-03-17,1964.2767333984375,1975.0,1979.5,1941.5,1941.5,6102188
2015-03-18,2011.5194091796875,2022.5,2023.0,1975.5,1975.5,6155708
2015-03-19,2030.913330078125,2042.0,2044.5,2007.0,2031.0,7977303
2015-03-20,2052.793212890625,2064.0,2069.5,2043.5,2054.0,16619009
2015-03-23,2082.630615234375,2094.0,2106.5,1990.35205078125,2073.5,3723837
2015-03-24,2067.21484375,2078.5,2107.0,2078.5,2085.0,5206417
2015-03-25,2085.117919921875,2096.5,2112.5,2067.5,2074.5,3305674
2015-03-26,2057.7666015625,2069.0,2118.0,2060.0,2102.5,5315464
2015-03-27,2023.454345703125,2034.5,2061.75,2025.0,2061.0,8247561
2015-03-30,2040.8592529296875,2052.0,2072.0,2027.0,2049.0,4615925
2015-03-31,1997.09765625,2008.0,2063.0,2006.5,2055.5,5562018
2015-04-01,2019.9730224609375,2031.0,2053.5,2006.5,2007.5,4718827
2015-04-02,2013.508544921875,2024.5,2050.0,2017.5,2037.0,2819298
2015-04-07,2082.630615234375,2094.0,2099.800048828125,2051.0,2056.5,4796372
2015-04-08,1971.7362060546875,1982.5,2080.0,1974.5,2075.0,15724063
2015-04-09,1993.1195068359375,2004.0,2008.0,1971.0,2001.5,10980485
2015-04-10,2015.49755859375,2026.5,2028.5,2001.5,2017.5,4623186
2015-04-13,2027.4322509765625,2038.5,2046.0,2023.0,2034.5,5772260
2015-04-14,2034.3944091796875,2045.5,2055.0,2025.5,2025.5,6537858
2015-04-15,2060.25244140625,2071.5,2083.0,2034.0,2034.0,4246419
2015-04-16,2097.5498046875,2109.0,2115.0,2081.5,2088.0,8327238
2015-04-17,2077.65869140625,2089.0,2119.0,2077.5,2114.0,5222746
2015-04-20,2109.483642578125,2121.0,2122.0,2093.0,2098.0,4225873
2015-04-21,2088.598876953125,2100.0,2120.0,2092.5,2120.0,4281542
2015-04-22,2059.25927734375,2070.5,2110.0,2063.0,2106.0,4529657
2015-04-23,2080.145263671875,2091.5,2098.5,2059.5,2065.0,12877464
2015-04-24,2054.782958984375,2066.0,2098.5,2063.5,2091.5,5588064
2015-04-27,2065.225830078125,2076.5,2089.137939453125,2042.0,2066.5,4697459
2015-04-28,2049.810302734375,2061.0,2085.5,2050.5,2074.5,5260893
2015-04-29,2040.8592529296875,2052.0,2071.5,2033.5,2055.5,5286983
2015-04-30,2048.31787109375,2059.5,2094.5,2055.0,2094.5,8772171
2015-05-01,2048.81640625,2060.0,2075.5,2045.5,2071.5,3218156
2015-05-05,2080.145263671875,2091.5,2119.5,2076.5,2090.5,7155535
2015-05-06,2071.193115234375,2082.5,2102.0,2075.5,2092.0,4353739
2015-05-07,2031.9078369140625,2043.0,2080.5,2023.5,2076.0,7668235
2015-05-08,2060.750732421875,2072.0,2077.0,2001.5,2028.0,8123331
2015-05-11,2040.8592529296875,2052.0,2094.5,2047.0,2066.5,6584581
2015-05-12,2022.45947265625,2033.5,2054.5,2018.8380126953125,2047.5,5833935
2015-05-13,2034.3944091796875,2045.5,2053.0,2030.5,2046.0,7124317
2015-05-14,2007.8428955078125,2018.5,2027.0,2003.5,2015.0,4394685
2015-05-15,1980.985595703125,1991.5,2019.0,1985.5,2017.0,4608844
2015-05-18,1971.0386962890625,1981.5,2019.5,1974.5,1998.5,4248577
2015-05-19,1960.59375,1971.0,2000.0,1970.0,1992.5,6572054
2015-05-20,1959.5987548828125,1970.0,1980.5,1956.5,1976.0,5897560
2015-05-21,1974.52001953125,1985.0,1995.0,1974.0,1976.0,4637333
2015-05-22,1960.0965576171875,1970.5,2000.5,1969.5,1998.5,5468813
2015-05-26,1920.8048095703125,1931.0,1962.0,1924.0,1962.0,5540983
2015-05-27,1947.1651611328125,1957.5,1962.0,1934.0,1934.0,4910637
2015-05-28,1943.6834716796875,1954.0,1967.5,1942.5,1954.0,3729164
2015-05-29,1932.7418212890625,1943.0,1973.5,1943.0,1962.0,7435976
2015-06-01,1912.349365234375,1922.5,1958.5,1915.5,1956.0,6283894
2015-06-02,1923.788818359375,1934.0,1949.0,1905.0,1930.0,7829912
2015-06-03,1927.767578125,1938.0,1950.0,1923.5,1944.5,6859961
2015-06-04,1891.460205078125,1901.5,1929.0,1901.5,1928.0,7158152
2015-06-05,1892.4554443359375,1902.5,1921.5,1886.5,1895.0,6928452
